"id";"area";"country";"year";"month";"day";"depth";"x";"y";"duration";"swept";"category";"n";"kg"
"18ALB2016_PEC85_41";18;"ALB";2016;8;5;77.5;19.26275;41.08525;0.5;0.0511152;"ADV";4;0.2
"18ALB2017_PEC1019_167";18;"ALB";2017;10;19;347.5;18.8710833333333;40.9043333333333;1;0.1063496;"ADV";3;0.21
"18ALB2017_PEC1019_170";18;"ALB";2017;10;19;601.5;18.7436666666667;41.10675;1;0.1011513;"ADV";8;1.54
"18ALB2017_PEC1019_33";18;"ALB";2017;10;19;555.5;18.8119166666667;40.912;1;0.1025795;"ADV";2;0.115
"18ALB2017_PEC1019_38";18;"ALB";2017;10;19;518.5;18.8965;40.7966666666667;1;0.103641;"ADV";0;0
"18ALB2017_PEC1019_39";18;"ALB";2017;10;19;545;18.9866666666667;40.6926666666667;1;0.1011513;"ADV";3;0.08
"18ALB2017_PEC1021_165";18;"ALB";2017;10;21;126.5;18.9428333333333;41.1033333333333;0.5;0.052782;"ADV";1;0.63
"18ALB2017_PEC1021_166";18;"ALB";2017;10;21;116.5;18.9675833333333;41.3103333333333;0.5;0.051718;"ADV";3;0.03
"18ALB2017_PEC1021_168";18;"ALB";2017;10;21;392;18.7635;41.4413333333333;1;0.1019984;"ADV";2;0.05
"18ALB2017_PEC1021_26";18;"ALB";2017;10;21;295;18.86525;41.0938333333333;1;0.1059968;"ADV";1;0.02
"18ALB2017_PEC1021_32";18;"ALB";2017;10;21;564.5;18.7800833333333;40.9566666666667;1;0.1018654;"ADV";5;0.06
"18ALB2017_PEC1027_10";18;"ALB";2017;10;27;90;19.20375;40.9308333333333;0.5;0.0482727;"ADV";4;0.14
"18ALB2017_PEC1027_16";18;"ALB";2017;10;27;103;19.1615833333333;40.8421666666667;0.5;0.050673;"ADV";1;0.03
"18ALB2017_PEC1027_2";18;"ALB";2017;10;27;14.5;19.4145;41.1011666666667;0.5;0.047226;"ADV";0;0
"18ALB2017_PEC1028_1";18;"ALB";2017;10;28;29;19.3969166666667;41.55975;0.5;0.047226;"ADV";0;0
"18ALB2017_PEC1028_13";18;"ALB";2017;10;28;83.5;19.25675;41.3;0.5;0.0502818;"ADV";5;0.24
"18ALB2017_PEC1028_4";18;"ALB";2017;10;28;77.5;19.2770833333333;41.5319166666667;0.5;0.0502818;"ADV";10;0.3
"18ALB2017_PEC1028_8";18;"ALB";2017;10;28;61;19.3524166666667;41.1853333333333;0.5;0.0502818;"ADV";3;0.05
"18ALB2017_PEC1029_163";18;"ALB";2017;10;29;69;19.2553333333333;40.7594166666667;0.5;0.0502818;"ADV";5;0.27
"18ALB2017_PEC1029_169";18;"ALB";2017;10;29;524;19.0811666666667;40.4591666666667;1;0.0982949;"ADV";0;0
"18ALB2017_PEC1029_22";18;"ALB";2017;10;29;171;19.148;40.6209166666667;0.5;0.052782;"ADV";1;0.01
"18ALB2017_PEC1029_23";18;"ALB";2017;10;29;162.5;19.2071666666667;40.4784166666667;0.5;0.052782;"ADV";0;0
"18ALB2017_PEC1029_31";18;"ALB";2017;10;29;298;19.13575;40.4833333333333;1;0.1034488;"ADV";1;0.02
"18ALB2018_MIZ728_167";18;"ALB";2018;7;28;345.5;18.874;40.8975;1;0.106722;"ADV";2;0.03
"18ALB2018_MIZ728_27";18;"ALB";2018;7;28;325.5;19.0005833333333;40.72875;1;0.1088976;"ADV";1;0.03
"18ALB2018_MIZ728_32";18;"ALB";2018;7;28;555;18.77525;40.9906666666667;0.916666666666667;0.085344;"ADV";2;0.05
"18ALB2018_MIZ728_33";18;"ALB";2018;7;28;540;18.81325;40.91225;1;0.1034688;"ADV";1;0.02
"18ALB2018_MIZ728_38";18;"ALB";2018;7;28;587.5;18.9060833333333;40.7830833333333;1;0.1055424;"ADV";1;0.02
"18ALB2018_MIZ728_39";18;"ALB";2018;7;28;518;18.9888333333333;40.6875833333333;1;0.1010496;"ADV";2;0.03
"18ALB2018_MIZ729_168";18;"ALB";2018;7;29;392;18.76225;41.4449166666667;1;0.1088976;"ADV";1;0.02
"18ALB2018_MIZ730_14";18;"ALB";2018;7;30;114.5;19.10475;41.4011666666667;0.5;0.0516708;"ADV";1;0.05
"18ALB2018_MIZ730_165";18;"ALB";2018;7;30;125;18.944;41.1045833333333;0.5;0.0516708;"ADV";0;0
"18ALB2018_MIZ730_166";18;"ALB";2018;7;30;118.5;18.9675833333333;41.3130833333333;0.5;0.0516708;"ADV";1;0.05
"18ALB2018_MIZ730_170";18;"ALB";2018;7;30;595.5;18.7471666666667;41.0705833333333;1;0.1015488;"ADV";4;0.04
"18ALB2018_MIZ730_26";18;"ALB";2018;7;30;295;18.86125;41.1145833333333;1;0.1088976;"ADV";1;0.02
"18ALB2018_MIZ823_1";18;"ALB";2018;8;23;26.5;19.3994166666667;41.5490833333333;0.5;0.0461148;"ADV";1;0.03
"18ALB2018_MIZ823_13";18;"ALB";2018;8;23;87.5;19.2531666666667;41.313;0.5;0.0497262;"ADV";1;0.04
"18ALB2018_MIZ823_4";18;"ALB";2018;8;23;75.5;19.2816666666667;41.5528333333333;0.5;0.0497262;"ADV";4;0.32
"18ALB2018_MIZ823_6";18;"ALB";2018;8;23;94;19.2684166666667;41.4175833333333;0.5;0.0497262;"ADV";2;0.08
"18ALB2018_MIZ824_16";18;"ALB";2018;8;24;103;19.1624166666667;40.8581666666667;0.5;0.0516708;"ADV";3;0.03
"18ALB2018_MIZ824_163";18;"ALB";2018;8;24;70;19.255;40.7615833333333;0.5;0.0497262;"ADV";0;0
"18ALB2018_MIZ824_169";18;"ALB";2018;8;24;533;19.08275;40.4565833333333;1;0.0992064;"ADV";2;0.03
"18ALB2018_MIZ824_17";18;"ALB";2018;8;24;109.5;19.1560833333333;40.7221666666667;0.5;0.0516708;"ADV";2;0.02
"18ALB2018_MIZ824_22";18;"ALB";2018;8;24;169;19.145;40.6311666666667;0.5;0.0516708;"ADV";0;0
"18ALB2018_MIZ824_23";18;"ALB";2018;8;24;162;19.20475;40.4781666666667;0.5;0.0516708;"ADV";2;0.13
