"id";"c_square";"x";"y";"gsa";"depth";"strata";"year";"pred"
21043;"1401:216:228:4";16.875;41.275;18;109;"0_200";2017;876.454988038333
21044;"1401:216:228:2";16.875;41.225;18;101.7;"0_200";2017;1726.31228883177
21045;"1401:216:218:4";16.875;41.175;18;70.1;"0_200";2017;2151.24093922741
21252;"1401:216:469:1";16.925;41.625;18;146.60001;"0_200";2017;878.926151225149
21253;"1401:216:459:3";16.925;41.575;18;155.5;"0_200";2017;690.931820647879
21254;"1401:216:459:1";16.925;41.525;18;139.45;"0_200";2017;578.507675413212
21255;"1401:216:249:3";16.925;41.475;18;134.14999;"0_200";2017;486.679845320516
21256;"1401:216:249:1";16.925;41.425;18;127.15;"0_200";2017;415.448330369682
21257;"1401:216:239:3";16.925;41.375;18;122.2;"0_200";2017;372.765548990444
21258;"1401:216:239:1";16.925;41.325;18;115;"0_200";2017;358.631501182661
21259;"1401:216:229:3";16.925;41.275;18;115;"0_200";2017;513.135742486694
21260;"1401:216:229:1";16.925;41.225;18;109.25;"0_200";2017;836.278272901686
21261;"1401:216:219:3";16.925;41.175;18;97.4;"0_200";2017;7397.54258506438
21262;"1401:216:219:1";16.925;41.125;18;20.85;"0_200";2017;20196.9286789392
21469;"1401:216:459:4";16.975;41.575;18;185.39999;"0_200";2017;464.839590493095
21470;"1401:216:459:2";16.975;41.525;18;154.7;"0_200";2017;427.364655563886
21471;"1401:216:249:4";16.975;41.475;18;145.60001;"0_200";2017;411.281180973627
21472;"1401:216:249:2";16.975;41.425;18;134.60001;"0_200";2017;416.589166722228
21473;"1401:216:239:4";16.975;41.375;18;129.55;"0_200";2017;383.878083326186
21474;"1401:216:239:2";16.975;41.325;18;127.2;"0_200";2017;313.147930785673
21475;"1401:216:229:4";16.975;41.275;18;118.4;"0_200";2017;355.931537728379
21476;"1401:216:229:2";16.975;41.225;18;115.7;"0_200";2017;512.228904153744
21477;"1401:216:219:4";16.975;41.175;18;102.8;"0_200";2017;19789.5693638085
21478;"1401:216:219:2";16.975;41.125;18;47.1;"0_200";2017;58187.9529165838
21686;"1401:217:350:1";17.025;41.525;18;186.55;"0_200";2017;351.792480610025
21687;"1401:217:140:3";17.025;41.475;18;165.10001;"0_200";2017;303.086699119537
21688;"1401:217:140:1";17.025;41.425;18;150.7;"0_200";2017;335.770349645343
21689;"1401:217:130:3";17.025;41.375;18;145.14999;"0_200";2017;314.976395753197
21690;"1401:217:130:1";17.025;41.325;18;137.7;"0_200";2017;240.704837443346
21691;"1401:217:120:3";17.025;41.275;18;130.85001;"0_200";2017;262.209081459159
21692;"1401:217:120:1";17.025;41.225;18;121.15;"0_200";2017;316.864779515997
21693;"1401:217:110:3";17.025;41.175;18;115.7;"0_200";2017;19858.8370263203
21694;"1401:217:110:1";17.025;41.125;18;71.9;"0_200";2017;58888.1258217613
21903;"1401:217:140:4";17.075;41.475;18;191.64999;"0_200";2017;162.095822546837
21904;"1401:217:140:2";17.075;41.425;18;168.95;"0_200";2017;172.990436636604
21905;"1401:217:130:4";17.075;41.375;18;173.60001;"0_200";2017;166.059078008948
21906;"1401:217:130:2";17.075;41.325;18;216.8;"200_800";2017;141.301746663951
